Timestamp,Area,Acts,Crime,Victim_ID
28-02-2018 21:00,Mambalam.,act379,Robbery,Victim66
28-02-2018 21:15,Vyasar Nagar Colony,act379,Robbery,Victim20
28-02-2018 10:15,Kumaran Nagar,act279,Accident,Victim117
28-02-2018 10:15,Rv Nagar,act279,Accident,Victim130
28-02-2018 10:30,Virugambakkam,act279,Accident,Victim175
28-02-2018 14:15,Washermanpet,act323,Violence,Victim45
28-02-2018 08:00,Venkatesapuram,act363,Kidnapping,Victim173
28-02-2018 03:30,MPT AO,act323,Violence,Victim9
28-02-2018 01:30,Old College Buildings,act379,Robbery,Victim119
28-02-2018 19:00,Nungambakkam,act323,Violence,Victim187
28-02-2018 14:10,Chepauk,act323,Violence,Victim158
28-02-2018 14:25,Tidel Park,act323,Violence,Victim103
28-02-2018 22:00,Govt Stanley Hospital,act13,Gambling,Victim74
28-02-2018 22:00,Puliyanthope,act323,Violence,Victim174
28-02-2018 22:10,Kotturpuram,act323,Violence,Victim77
28-02-2018 12:00,Nandanam,act379,Robbery,Victim122
28-02-2018 13:30,Pudupakkam,act363,Kidnapping,Victim73
28-02-2018 03:00,Vyasar Nagar Colony,act323,Violence,Victim168
28-02-2018 23:50,Indian Institute Of Technology,act323,Violence,Victim171
28-02-2018 19:00,Perambur,act379,Robbery,Victim66
28-02-2018 11:55,Chepauk,act279,Accident,Victim81
28-02-2018 11:00,Raja Annamalaipuram,act323,Violence,Victim25
28-02-2018 18:00,Chennai,act279,Accident,Victim116
28-02-2018 01:00,Ethiraj Salai,act323,Violence,Victim186
28-02-2018 00:00,Teynampet West,act379,Robbery,Victim91
28-02-2018 22:10,Hindi Prachar Sabha,act279,Accident,Victim27
28-02-2018 22:30,Flower Bazaar,act13,Gambling,Victim95
28-02-2018 08:40,Tondiarpet,act279,Accident,Victim161
28-02-2018 15:40,West Mambalam,act323,Violence,Victim99
28-02-2018 15:50,Raja Annamalaipuram,act323,Violence,Victim43
28-02-2018 00:00,D G Vaishnav College,act379,Robbery,Victim197
28-02-2018 15:00,Kumaran Nagar,act323,Violence,Victim175
28-02-2018 15:30,Vyasarpadi,act323,Violence,Victim150
28-02-2018 19:05,Indian Institute Of Technology,act323,Violence,Victim155
28-02-2018 19:25,Flower Bazaar,act323,Violence,Victim150
28-02-2018 19:50,Rajbhavan,act323,Violence,Victim59
28-02-2018 19:20,Tondiarpet West,act323,Violence,Victim169
28-02-2018 13:00,Thygarayanagar South NDS.O,act323,Violence,Victim2
28-02-2018 16:00,Velacheri,act323,Violence,Victim79
28-02-2018 21:45,Washermanpet East,act323,Violence,Victim125
28-02-2018 23:00,Tondiarpet West,act323,Violence,Victim176
28-02-2018 19:30,Tondiarpet,act279,Accident,Victim189
28-02-2018 17:00,Tondiarpet Bazaar,act13,Gambling,Victim111
28-02-2018 19:45,Koyambedu Wholesale Market Com,act13,Gambling,Victim50
